CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,CH01,CH01_01,CH01_02,CH01_04,CH01_05,CH01_06,CH02,CH06,CH07,CH08,CH09,CH03,CH03x01,CH03x02,CH03x03,CH10,CH10x01,CH10x02,CH10x03,CH11,CH11x01,CH11x02,CH11x03,CH12,CH12x01,CH12x02,CH12x03,CH13,CH13x01,CH13x02,CH13x03,CH04,CH05,CH05_01,CH05_02,CH05_03,CH05_04,CH05_05,CH05_06,CH05_06a,CH19,CH21_01,CO03,CO03_01,CO03_02,CO03_03,CO03_04,CO04_PRV,CO04_OS,CO04_BNM,CO04_BVS,CO04_FmF,DE01,DE02,DE05,DE05_05,DE06,DE06_11,points_given,info_use_info,info_use_text,info_use_structure,info_use_tech,info_use_study,IP01,KR01,NU01,NU02,NU03,NU04_01,NU04_02,SC04,SC05,SC06,SC06_01,SC06_02,SC06_03,SC06_04,SC06_05,SC06_06,SC06_07,SC06_07a,sd_argument,sd_stressed,sd_listening,sd_advantage,sd_litter,sd_help,SE01_01,SE01_02,SE01_03,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME023,TIME024,TIME025,TIME026,TIME027,TIME028,TIME029,TIME030,TIME_SUM,MAILSENT,LASTDATA,STATUS,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,n_chats_valid,obs_info_n,obs_schreiben_n,obs_praktisch_n,obs_technisch_n,obs_lernen_n,obs_sent_freundlich_n,obs_sent_neutral_n,obs_sent_unfreundlich_n,obs_kritisch_ja_n,obs_kritisch_nein_n,final_sample
357,NA,NA,base,interview,2026-07-29T15:37:22Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,40,10,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,2026-07-29T16:37:35Z,NA,FALSE,FALSE,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
360,NA,NA,base,interview,2026-07-30T18:10:14Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,20,5,0,1,1,6,1,NA,4,NA,10,4,4,2,-9,-9,2,5,3,NA,NA,2,3,2,4,3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,5,4,4,2,2,4,4,5,2,NA,5,9,4,14,8,4,8,7,8,12,4,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,12,5,4,3,6,19,432,NA,2026-07-30T18:17:26Z,complete,TRUE,FALSE,30,30,5,4,0,0,1,0,0,4,1,1,4,1
361,NA,NA,base,interview,2026-07-30T18:20:36Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,20,5,0,1,1,4,3,NA,10,NA,10,3,3,-9,0,4,2,2,4,NA,NA,4,4,2,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,4,4,3,3,2,5,2,4,NA,2,8,3,4,3,9,3,7,6,22,6,696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,6,6,7,14,58,873,NA,2026-07-30T18:35:09Z,complete,TRUE,FALSE,30,30,5,2,1,1,1,0,1,2,2,0,5,1
362,NA,NA,base,interview,2026-07-30T19:50:01Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,2,10,2,NA,8,NA,10,-9,1,1,8,-9,3,4,4,NA,NA,5,5,2,6,3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,5,3,2,4,1,1,5,2,3,NA,16,5,4,3,7,4,5,4,6,15,4,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11,2,4,3,3,18,778,NA,2026-07-30T20:02:59Z,complete,TRUE,FALSE,30,30,5,0,0,1,4,0,4,1,0,3,2,1
363,NA,NA,base,interview,2026-07-30T20:03:45Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,2,8,1,NA,3,NA,10,2,4,1,3,-9,4,1,3,NA,NA,4,3,2,4,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,4,4,5,2,4,1,5,5,1,NA,3,4,2,3,5,12,6,6,5,10,3,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,12,3,5,3,2,18,498,NA,2026-07-30T20:12:03Z,complete,TRUE,FALSE,30,30,5,0,3,0,2,0,2,2,1,1,4,1
364,NA,NA,base,interview,2026-07-30T20:14:18Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,2,10,2,NA,3,NA,10,-9,4,1,5,-9,3,1,4,NA,NA,5,5,2,6,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,2,3,4,4,1,5,1,1,NA,3,5,3,4,3,3,4,3,4,9,5,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,12,2,5,4,7,16,399,NA,2026-07-30T20:20:57Z,complete,TRUE,FALSE,30,30,5,0,1,3,1,0,2,3,0,0,5,1
365,NA,NA,base,interview,2026-07-30T23:23:12Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,1,9,2,NA,3,NA,10,1,2,3,3,1,4,1,5,NA,NA,5,5,2,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,4,4,2,3,2,2,3,2,NA,1,5,4,7,4,3,5,7,6,11,4,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11,4,5,2,2,25,689,NA,2026-07-30T23:34:42Z,complete,TRUE,FALSE,30,30,5,0,0,0,4,1,0,5,0,1,4,1
366,NA,NA,base,interview,2026-07-30T23:36:00Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,2,11,2,NA,3,NA,10,1,2,2,3,2,2,2,3,NA,NA,3,3,2,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,4,3,2,4,4,2,4,2,NA,16,4,2,10,4,4,4,3,5,12,7,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,3,5,2,3,12,304,NA,2026-07-30T23:41:05Z,complete,TRUE,FALSE,30,30,5,0,1,1,2,1,1,4,0,1,4,1
367,NA,NA,base,interview,2026-07-30T23:41:14Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Textlimit überschritten,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,2,7,2,NA,3,NA,10,2,2,3,3,-9,4,5,2,NA,NA,3,4,2,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,5,4,2,2,1,5,4,2,NA,4,4,3,2,2,4,6,6,5,13,4,776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35666,15,2,3,3,2,14,880,NA,2026-07-31T09:50:08Z,complete,TRUE,FALSE,30,30,5,0,1,0,4,0,0,5,0,1,4,1
368,NA,NA,base,interview,2026-07-31T00:01:30Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-9,-9,-9,-9,2,Challenges in Media Exposure Research.html,CH03.000368.html,2026-07-31T00:21:13Z,2,Exposure Diversity vs Media Repertoire.html,CH10.000368.html,2026-07-31T00:21:13Z,2,Hypotheses for Social Media Research.html,CH11.000368.html,2026-07-31T00:21:13Z,2,Uses-and-Gratifications Ansatz.html,CH12.000368.html,2026-07-31T00:21:13Z,NA,NA,NA,NA,NA,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,20,5,0,1,1,9,2,NA,3,NA,10,4,3,3,-9,-9,2,4,5,NA,NA,5,4,2,4,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,5,3,3,5,5,4,4,5,3,NA,10,13,3,6,8,4,10,11,10,30,21,1022,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,11,27,3,4,4,4,27,1263,NA,2026-07-31T00:22:33Z,complete,TRUE,FALSE,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
370,NA,NA,base,interview,2026-07-31T10:13:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,40,10,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,2026-07-31T10:14:30Z,NA,FALSE,FALSE,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
371,NA,NA,base,interview,2026-07-31T10:14:46Z,0,FALSE,FALSE,FALSE,FALSE,FALSE,-9,-9,-9,-9,-9,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,40,10,0,5,2,5,1,NA,4,NA,10,4,2,0,-9,4,1,2,5,NA,NA,5,5,2,6,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,4,4,4,1,1,NA,NA,NA,NA,28,67,3,5,2,6,8,17,17,97,38,5,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,7,50,313,NA,2026-07-31T10:20:53Z,complete,TRUE,FALSE,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
372,NA,NA,base,interview,2026-07-31T10:14:49Z,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,40,10,0,5,NA,NA,NA,NA,NA,NA,10,6,2,1,1,-9,3,5,5,NA,NA,5,4,2,6,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,17,5,7,7,11,36,15,13,91,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,NA,2026-07-31T10:18:55Z,NA,FALSE,FALSE,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
374,NA,NA,base,interview,2026-07-31T10:42:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,40,10,0,5,NA,NA,NA,NA,NA,NA,10,1,2,2,1,4,2,4,5,NA,NA,5,4,2,5,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2444,9,4,3,2,4,7,3,2,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,2026-07-31T11:23:46Z,NA,FALSE,FALSE,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
375,NA,NA,base,interview,2026-07-31T10:51:08Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,1,-2,-2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,2026-07-31T10:51:33Z,NA,FALSE,FALSE,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
